X,Y
400,0.000000337
401,0.000000150
402,0.000000067
403,0.000000030
404,0.000000013
405,0.000000010
406,0.000000010
407,0.000000010
408,0.000000010
409,0.000000010
410,0.000000010
411,0.000000010
412,0.000000010
413,0.000000010
414,0.000000010
415,0.000000010
416,0.000000010
417,0.000000010
418,0.000000010
419,0.000000010
420,0.000000018
421,0.000000039
422,0.000000084
423,0.000000178
424,0.000000341
425,0.000000300
426,0.000000265
427,0.000000233
428,0.000000206
429,0.000000159
430,0.000000117
431,0.000000085
432,0.000000062
433,0.000000046
434,0.000000033
435,0.000000024
436,0.000000018
437,0.000000016
438,0.000000022
439,0.000000029
440,0.000000040
441,0.000000054
442,0.000000074
443,0.000000100
444,0.000000136
445,0.000000185
446,0.000000233
447,0.000000210
448,0.000000189
449,0.000000170
450,0.000000152
451,0.000000150
452,0.000000203
453,0.000000277
454,0.000000376
455,0.000000511
456,0.000000695
457,0.000000945
458,0.000001286
459,0.000001748
460,0.000001894
461,0.000001772
462,0.000001658
463,0.000001551
464,0.000001451
465,0.000001357
466,0.000001643
467,0.000002446
468,0.000003643
469,0.000005424
470,0.000008076
471,0.000012025
472,0.000017905
473,0.000026660
474,0.000039696
475,0.000059107
476,0.000088008
477,0.000094816
478,0.000096768
479,0.000098760
480,0.000100794
481,0.000102869
482,0.000108691
483,0.000121430
484,0.000135662
485,0.000156720
486,0.000232733
487,0.000345614
488,0.000551602
489,0.000963949
490,0.001684546
491,0.002943818
492,0.005144451
493,0.008990172
494,0.016100153
495,0.037478137
496,0.087242279
497,1.592796000
498,13.509077000
499,24.759796000
500,31.383836000
501,54.478284000
502,96.344999000
503,96.408322000
504,96.471644000
505,96.534967000
506,96.598289000
507,96.643124000
508,96.643239000
509,96.643355000
510,96.643471000
511,96.643586000
512,96.643702000
513,96.643817000
514,96.617546000
515,96.580823000
516,96.544101000
517,96.507378000
518,96.512109000
519,96.600738000
520,96.689367000
521,96.777995000
522,96.742005000
523,96.647451000
524,96.552897000
525,96.458343000
526,96.363789000
527,96.396825000
528,96.529764000
529,96.662703000
530,96.795641000
531,96.948799000
532,97.103907000
533,97.259015000
534,97.367917000
535,97.347937000
536,97.327958000
537,97.307978000
538,97.287998000
539,97.268018000
540,97.248038000
541,97.228058000
542,97.207074000
543,97.182628000
544,97.158182000
545,97.133736000
546,97.109290000
547,97.084843000
548,97.060397000
549,97.023243000
550,96.979159000
551,96.935074000
552,96.890990000
553,96.846906000
554,96.802822000
555,96.758737000
556,96.714653000
557,96.670569000
558,96.626484000
559,96.582400000
560,96.577896000
561,96.591830000
562,96.605763000
563,96.619697000
564,96.633631000
565,96.647565000
566,96.585170000
567,96.507960000
568,96.430750000
569,96.353540000
570,96.276329000
571,96.199119000
572,96.121909000
573,96.154011000
574,96.284935000
575,96.415859000
576,96.546783000
577,96.677707000
578,96.808631000
579,96.939555000
580,97.070479000
581,97.108830000
582,97.053701000
583,96.998571000
584,96.943442000
585,96.888313000
586,96.833183000
587,96.778054000
588,96.722925000
589,96.667795000
590,96.719526000
591,96.811844000
592,96.904163000
593,96.996481000
594,97.088800000
595,97.181118000
596,97.273437000
597,97.365755000
598,97.458073000
599,97.550392000
600,97.642710000
601,97.735029000
602,97.827347000
603,97.753102000
604,97.560112000
605,97.367121000
606,97.174131000
607,96.981140000
608,96.788150000
609,96.595159000
610,96.402169000
611,96.209178000
612,96.016188000
613,95.823197000
614,95.630207000
615,95.746516000
616,95.908447000
617,96.070379000
618,96.232310000
619,96.394241000
620,96.556172000
621,96.718103000
622,96.880034000
623,97.041965000
624,97.062458000
625,96.858877000
626,96.655297000
627,96.451717000
628,96.248137000
629,96.044557000
630,95.840977000
631,95.637397000
632,95.433816000
633,95.230236000
634,95.317591000
635,95.448515000
636,95.579438000
637,95.710362000
638,95.841286000
639,95.972210000
640,96.103133000
641,96.234057000
642,96.154687000
643,96.035886000
644,95.917084000
645,95.798283000
646,95.679481000
647,95.560679000
648,95.441878000
649,95.323076000
650,95.204275000
651,95.172325000
652,95.314765000
653,95.457204000
654,95.599643000
655,95.742083000
656,95.884522000
657,96.026961000
658,96.169401000
659,96.311840000
660,96.454279000
661,96.565269000
662,96.437983000
663,96.310698000
664,96.183413000
665,96.056128000
666,95.928843000
667,95.801558000
668,95.674273000
669,95.546988000
670,95.419703000
671,95.475110000
672,95.649228000
673,95.823346000
674,95.997464000
675,96.171582000
676,96.345700000
677,96.519818000
678,96.693936000
679,96.868054000
680,97.042173000
681,97.093578000
682,96.955690000
683,96.817801000
684,96.679913000
685,96.542024000
686,96.404136000
687,96.266247000
688,96.128359000
689,95.990470000
690,95.996668000
691,96.093602000
692,96.190535000
693,96.287468000
694,96.384401000
695,96.481335000
696,96.578268000
697,96.675201000
698,96.772135000
699,96.869068000
700,96.966001000
