X,Y,
400.000000,0.006678,
401.000000,0.006865,
402.000000,0.007826,
403.000000,0.009066,
404.000000,0.010307,
405.000000,0.011548,
406.000000,0.012788,
407.000000,0.014029,
408.000000,0.016316,
409.000000,0.020173,
410.000000,0.024029,
411.000000,0.027885,
412.000000,0.032514,
413.000000,0.038712,
414.000000,0.044910,
415.000000,0.051777,
416.000000,0.062036,
417.000000,0.072294,
418.000000,0.084761,
419.000000,0.098269,
420.000000,0.121611,
421.000000,0.150321,
422.000000,0.176859,
423.000000,0.200042,
424.000000,0.229720,
425.000000,0.270799,
426.000000,0.306188,
427.000000,0.340043,
428.000000,0.392647,
429.000000,0.460074,
430.000000,0.531265,
431.000000,0.584878,
432.000000,0.649528,
433.000000,0.725385,
434.000000,0.808325,
435.000000,0.870527,
436.000000,0.924414,
437.000000,0.973112,
438.000000,0.991680,
439.000000,0.994421,
440.000000,0.993340,
441.000000,0.969386,
442.000000,0.922410,
443.000000,0.852913,
444.000000,0.780209,
445.000000,0.710372,
446.000000,0.652318,
447.000000,0.586931,
448.000000,0.524014,
449.000000,0.474154,
450.000000,0.433640,
451.000000,0.395778,
452.000000,0.356507,
453.000000,0.324406,
454.000000,0.298018,
455.000000,0.272417,
456.000000,0.248122,
457.000000,0.223525,
458.000000,0.198692,
459.000000,0.177868,
460.000000,0.158420,
461.000000,0.141027,
462.000000,0.125893,
463.000000,0.110759,
464.000000,0.099434,
465.000000,0.089339,
466.000000,0.079360,
467.000000,0.072369,
468.000000,0.065378,
469.000000,0.058582,
470.000000,0.053676,
471.000000,0.048771,
472.000000,0.043865,
473.000000,0.039765,
474.000000,0.036014,
475.000000,0.032263,
476.000000,0.028932,
477.000000,0.026572,
478.000000,0.024211,
479.000000,0.021851,
480.000000,0.019490,
481.000000,0.017317,
482.000000,0.015536,
483.000000,0.013754,
484.000000,0.011973,
485.000000,0.010820,
486.000000,0.010359,
487.000000,0.009897,
488.000000,0.009435,
489.000000,0.008973,
490.000000,0.008511,
491.000000,0.008097,
492.000000,0.007972,
493.000000,0.007847,
494.000000,0.007722,
495.000000,0.007597,
496.000000,0.007472,
497.000000,0.007347,
498.000000,0.007222,
499.000000,0.007107,
500.000000,0.007004,
501.000000,0.006900,
502.000000,0.006797,
503.000000,0.006694,
504.000000,0.006591,
505.000000,0.006488,
506.000000,0.006384,
507.000000,0.006281,
508.000000,0.006178,
509.000000,0.006075,
510.000000,0.005971,
511.000000,0.005868,
512.000000,0.005765,
513.000000,0.005662,
514.000000,0.005558,
515.000000,0.005455,
516.000000,0.005352,
517.000000,0.005249,
518.000000,0.005145,
519.000000,0.005042,
520.000000,0.004939,
521.000000,0.004836,
522.000000,0.004732,
523.000000,0.004629,
524.000000,0.004526,
525.000000,0.004423,
526.000000,0.004320,
527.000000,0.004216,
528.000000,0.004113,
529.000000,0.004010,
530.000000,0.003907,
531.000000,0.003803,
532.000000,0.003700,
533.000000,0.003597,
534.000000,0.003494,
535.000000,0.003390,
536.000000,0.003287,
537.000000,0.003184,
538.000000,0.003081,
539.000000,0.002977,
540.000000,0.002874,
541.000000,0.002771,
542.000000,0.002668,
543.000000,0.002564,
544.000000,0.002461,
545.000000,0.002358,
546.000000,0.002255,
547.000000,0.002152,
548.000000,0.002048,
549.000000,0.001945,
550.000000,0.001842,
551.000000,0.001739,
552.000000,0.001635,
553.000000,0.001532,
554.000000,0.001429,
555.000000,0.001326,
556.000000,0.001222,
557.000000,0.001119,
558.000000,0.001016,
559.000000,0.000913,
560.000000,0.000809,
561.000000,0.000706,
562.000000,0.000603,
563.000000,0.000500,
564.000000,0.000396,
565.000000,0.000293,
566.000000,0.000190,
567.000000,0.000087,
568.000000,-0.000016,
569.000000,-0.000120,
570.000000,-0.000223,
571.000000,-0.000326,
572.000000,-0.000429,
573.000000,-0.000533,
574.000000,-0.000636,
575.000000,-0.000739,
576.000000,-0.000842,
577.000000,-0.000946,
578.000000,-0.001049,
579.000000,-0.001152,
580.000000,-0.001255,
581.000000,-0.001359,
582.000000,-0.001462,
583.000000,-0.001565,
584.000000,-0.001668,
585.000000,-0.001772,
586.000000,-0.001875,
587.000000,-0.001978,
588.000000,-0.002081,
589.000000,-0.002185,
590.000000,-0.002288,
591.000000,-0.002391,
592.000000,-0.002494,
593.000000,-0.002597,
594.000000,-0.002701,
595.000000,-0.002804,
596.000000,-0.002907,
597.000000,-0.003010,
598.000000,-0.003114,
599.000000,-0.003217,
600.000000,-0.003320,
601.000000,-0.003423,
602.000000,-0.003527,
603.000000,-0.003630,
604.000000,-0.003733,
605.000000,-0.003836,
606.000000,-0.003940,
607.000000,-0.004043,
608.000000,-0.004146,
609.000000,-0.004249,
610.000000,-0.004353,
611.000000,-0.004456,
612.000000,-0.004559,
613.000000,-0.004662,
614.000000,-0.004765,
615.000000,-0.004869,
616.000000,-0.004972,
617.000000,-0.005075,
618.000000,-0.005178,
619.000000,-0.005282,
620.000000,-0.005385,
621.000000,-0.005488,
622.000000,-0.005591,
623.000000,-0.005695,
624.000000,-0.005798,
625.000000,-0.005901,
626.000000,-0.006004,
627.000000,-0.006108,
628.000000,-0.006211,
629.000000,-0.006314,
630.000000,-0.006417,
631.000000,-0.006521,
632.000000,-0.006624,
633.000000,-0.006727,
634.000000,-0.006830,
635.000000,-0.006933,
636.000000,-0.007037,
637.000000,-0.007140,
638.000000,-0.007243,
639.000000,-0.007346,
