Tickers,mean,3std
^VIX,19.706426,25.844382
^TNX,3.483990,3.696739
DX-Y.NYB,70.649544,99.262537
^IRX,1.592465,5.442526
^FVX,2.807593,4.437855
^TYX,4.132803,3.111302
^VXN,25.385576,42.733365
VXNCLS,24.676977,36.428853
RVXCLS,23.820705,28.645815
BAMLEMCBPIOAS,3.920873,6.000883
BAMLH0A0HYM2,5.614070,8.194568
VXVCLS,21.271491,24.883581
T10Y2Y,0.954003,2.762933
DGS2,5.352247,11.296562
T10Y3M,1.822088,3.285942
DGS10,6.186426,8.625198
DGS3MO,3.951351,9.430470
T10YIE,2.084377,1.193681
DFII10,1.093044,2.686709
BAA10Y,2.329408,2.176750
T10YFF,1.061784,5.067784
HQMCB10YR,6.761122,7.204452
DTWEXM,94.114780,42.121475
VIXCLS,19.275881,23.430396
VXTYN,6.302889,6.167289
VXOCLS,20.043424,26.819772
VXAZNCLS,33.298933,26.511138
VXIBMCLS,21.578175,13.963434
VXGSCLS,28.274136,27.628827
VXGOGCLS,25.370453,19.115601
VXAPLCLS,28.472957,20.410950
VXDCLS,19.233847,23.550516
VXFXICLS,25.986634,20.706587
VXEEMCLS,23.329898,21.039742
GVZCLS,19.605623,23.358292
OVXCLS,36.245300,40.818551
